D4,-8.9,Cc1cc(Sc2c([nH]c3c2cc(Cl)cc3)C(=O)NC(=N)N2CCNCC2)cc(C)c1
D5,-7.4,Cc1cc(Sc2c([nH]c3c2cc(Cl)cc3)C(=O)N2CCOCC2)cc(C)c1
D6,-7.4,Cc1cc(Sc2c([nH]c3c2cc(Cl)cc3)C(=O)NC2CCOCC2)cc(C)c1
D7,-7.2,Cc1cc(Sc2c([nH]c3c2c(c(Cl)cc3)N2CCNCC2)(NN2CCNCC2)O)cc(C)c1
D8,-9.4,Cc1cc(Sc2c([nH]c3c2cc(Cl)cc3)C(=O)NC(=O)NC(=O)N[C@H]2CNCCN2)cc(C)c1
D9,-7.7,Cc1cc(cc(c1)S(=O)(=O)c1c([nH]c2ccc(Cl)cc12)C(=O)N)N1CCNCC1
D10,-7.7,Cc1cc(cc(c1)S(=O)(=O)c1c([nH]c2ccc(cc12)N1CCNCC1)C(=O)N)C
E1,-6.6,C(=COC(=O)C1=CC=C[N]1[S](=O)(=O)C2=C(C=CC(=C2)Cl)N)C3=CC=CC=C3
E2,-6.9,CCOC(=O)C1=CC(=C[N]1[S](=O)(=O)C2=C(C(CC(=C2)Cl)=CC3=CC=CC=C3)N)C
E3,-7.4,CCOC(=O)C1=CC(=C[N]1[S](=O)(=O)C2=C(C=CC(=C2)Cl)N)C=CC3=CC=CC=C3
E4,-7,CCOC(=O)C1=CC=C[N]1[S](=O)(=O)C2=C(CC(C(=C2)Cl)=CC3=CC=CC=C3)N
E5,-7.6,c1ccc(C(=O)OCC)n1S(=O)(=O)c1cc(ccc1N)c1cc(C=C)ccc1
E6,-6.3,CCOC(=O)c1cccn1S(=O)(O\C=C/c1ccccc1)c1cc(Cl)ccc1N
E7,-7,c1ccc(C(=O)C(=Cc2ccccc2)CC)n1S(=O)(=O)c1cc(Cl)ccc1N
E8,-7.2,C1=C\c2ccccc2c2cn(c(c2)C(=O)OCC)S(=O)(=O)c2cc(Cl)ccc2N1
E9,-7.7,c1cc2ccccc2c2c3n(c(c2)C(=O)OCC)S(=O)(=O)c2cc(Cl)ccc2n1o3
E10,-7.5,Nc1ccc(Cl)cc1S(=O)(=O)n1cccc1C(=O)O[C@@H]1Cc2c(C=C)c1ccc2
F1,-6.4,c1cncnc1c1ccc(C(=O)OCC)n1S(=O)(=O)c1cc(Cl)ccc1N
F2,-6.6,c1cncnc1CCOC(=O)c1cccn1S(=O)(=O)c1cc(Cl)ccc1N
F3,-7.5,c1ccc(C(=O)OCC)n1S(=O)(=O)c1cc(c2ncccn2)ccc1N
F4,-7.6,C(C(=O)OC(=O)c1cccn1S(=O)(=O)c1cc(Cl)ccc1N)C(=O)Cc1ncccn1
F5,-6.9,c1c(cncn1)OC(=O)C(=O)OC(=O)c1cc(cn1S(=O)(=O)c1cc(C(=O)C=O)ccc1NC(=O)C=O)C=O
F6,-6.7,c1c(cncn1)C(=O)c1c(c(C(=O)OC(=O)C=O)n(c1C=O)S(=O)(=O)c1cc(C(=O)C=O)ccc1NC=O)C=O
F7,-7.5,c1ccnc(n1)C(=O)C(=O)C(=O)OC(=O)c1cccn1Sc1cc(C(=O)C(=O)C)ccc1N
F8,-7.1,c1c(cncn1)Nc1c(Sn2c(C(=O)OC(=O)C(=O)C=O)ccc2)cc(Cl)cc1
F9,-8.3,c1c(cncn1)CC(=O)NC(=O)C(=O)OC(=O)c1cccn1S(=O)(=O)c1cc(Cl)ccc1N
F10,-7.6,c1c(cncn1)C(=O)C(=O)c1cc(S(=O)(=O)n2c(C(=O)OC(=O)C(=O)C)ccc2)c(cc1)N
G1,-7,[H]N1OC2=C(C=CC=C2)C(CCOC(=O)c2cccn2S(=O)(=O)c2cc(Cl)ccc2N)=C1
G2,-7.2,[H]N1OC2=C(C=CC=C2c2ccc(C(=O)OCC)n2S(=O)(=O)c2cc(Cl)ccc2N)C=C1
